caminho_relativo,nome_arquivo,extensao,tamanho_bytes,tamanho_legivel,data_modificacao,data_criacao,path,path_l,name_l,categoria_sugerida
informações grok instagram (1).docx,informações grok instagram (1).docx,.docx,42895,41.89 KB,2025-12-22 13:54,2025-12-22 13:54,informações grok instagram (1).docx,informações grok instagram (1).docx,informações grok instagram (1).docx,FINANCEIRO/ADMIN
2_ARQUIVOS_SOLTOS\Markdowns\gpt-builder-instagram.md,gpt-builder-instagram.md,.md,9139,8.92 KB,2025-12-22 17:09,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\gpt-builder-instagram.md,2_arquivos_soltos\markdowns\gpt-builder-instagram.md,gpt-builder-instagram.md,LIXO_TECNICO_DEV
POST-BUILDER-COMPLETE (1).html,POST-BUILDER-COMPLETE (1).html,.html,51336,50.13 KB,2025-12-27 23:49,2025-12-27 23:49,POST-BUILDER-COMPLETE (1).html,post-builder-complete (1).html,post-builder-complete (1).html,LIXO_TECNICO_DEV
POST-BUILDER-COMPLETE.html,POST-BUILDER-COMPLETE.html,.html,51336,50.13 KB,2025-12-27 23:48,2025-12-27 23:47,POST-BUILDER-COMPLETE.html,post-builder-complete.html,post-builder-complete.html,LIXO_TECNICO_DEV
POST-BUILDER-SPEC.md,POST-BUILDER-SPEC.md,.md,29472,28.78 KB,2025-12-27 23:49,2025-12-27 23:49,POST-BUILDER-SPEC.md,post-builder-spec.md,post-builder-spec.md,LIXO_TECNICO_DEV
post_builder_wizard.png,post_builder_wizard.png,.png,182304,178.03 KB,2025-12-27 23:49,2025-12-27 23:49,post_builder_wizard.png,post_builder_wizard.png,post_builder_wizard.png,LIXO_TECNICO_DEV
protocolo-11-2-authority-building.md,protocolo-11-2-authority-building.md,.md,3621,3.54 KB,2025-12-27 19:42,2025-12-27 19:42,protocolo-11-2-authority-building.md,protocolo-11-2-authority-building.md,protocolo-11-2-authority-building.md,LIXO_TECNICO_DEV
20_ideias_virais_bonus.md,20_ideias_virais_bonus.md,.md,17841,17.42 KB,2025-12-22 11:13,2025-12-22 11:13,20_ideias_virais_bonus.md,20_ideias_virais_bonus.md,20_ideias_virais_bonus.md,OUTROS/NEUTRO
2_ARQUIVOS_SOLTOS\Markdowns\manual-completo-vendas-harmonizacao-intima (1).md,manual-completo-vendas-harmonizacao-intima (1).md,.md,52652,51.42 KB,2025-12-12 18:10,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\manual-completo-vendas-harmonizacao-intima (1).md,2_arquivos_soltos\markdowns\manual-completo-vendas-harmonizacao-intima (1).md,manual-completo-vendas-harmonizacao-intima (1).md,OUTROS/NEUTRO
2_ARQUIVOS_SOLTOS\Markdowns\manual-completo-vendas-harmonizacao-intima.md,manual-completo-vendas-harmonizacao-intima.md,.md,52652,51.42 KB,2025-12-12 18:04,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\manual-completo-vendas-harmonizacao-intima.md,2_arquivos_soltos\markdowns\manual-completo-vendas-harmonizacao-intima.md,manual-completo-vendas-harmonizacao-intima.md,OUTROS/NEUTRO
2_ARQUIVOS_SOLTOS\Markdowns\objecoes-harmonizacao-intima-masculina.md,objecoes-harmonizacao-intima-masculina.md,.md,44492,43.45 KB,2025-12-04 14:20,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\objecoes-harmonizacao-intima-masculina.md,2_arquivos_soltos\markdowns\objecoes-harmonizacao-intima-masculina.md,objecoes-harmonizacao-intima-masculina.md,OUTROS/NEUTRO
3_LOGS\_LISTA_COMPLETA_ARQUIVOS.csv,_LISTA_COMPLETA_ARQUIVOS.csv,.csv,12051,11.77 KB,2025-12-27 22:21,2025-12-27 22:21,3_LOGS\_LISTA_COMPLETA_ARQUIVOS.csv,3_logs\_lista_completa_arquivos.csv,_lista_completa_arquivos.csv,OUTROS/NEUTRO
3_LOGS\_RELATORIO_EXECUCAO.txt,_RELATORIO_EXECUCAO.txt,.txt,1164,1.14 KB,2025-12-27 22:21,2025-12-27 22:21,3_LOGS\_RELATORIO_EXECUCAO.txt,3_logs\_relatorio_execucao.txt,_relatorio_execucao.txt,OUTROS/NEUTRO
BLOCO-11-RESUMO-EXECUTIVO.md,BLOCO-11-RESUMO-EXECUTIVO.md,.md,5957,5.82 KB,2025-12-27 19:42,2025-12-27 19:42,BLOCO-11-RESUMO-EXECUTIVO.md,bloco-11-resumo-executivo.md,bloco-11-resumo-executivo.md,OUTROS/NEUTRO
BLOCO-12-RESUMO-EXECUTIVO.md,BLOCO-12-RESUMO-EXECUTIVO.md,.md,6661,6.5 KB,2025-12-27 19:42,2025-12-27 19:42,BLOCO-12-RESUMO-EXECUTIVO.md,bloco-12-resumo-executivo.md,bloco-12-resumo-executivo.md,OUTROS/NEUTRO
BLOCO-6-RESUMO-EXECUTIVO.md,BLOCO-6-RESUMO-EXECUTIVO.md,.md,5752,5.62 KB,2025-12-27 19:41,2025-12-27 19:41,BLOCO-6-RESUMO-EXECUTIVO.md,bloco-6-resumo-executivo.md,bloco-6-resumo-executivo.md,OUTROS/NEUTRO
BLOCO-7-RESUMO-EXECUTIVO.md,BLOCO-7-RESUMO-EXECUTIVO.md,.md,5985,5.84 KB,2025-12-27 19:41,2025-12-27 19:41,BLOCO-7-RESUMO-EXECUTIVO.md,bloco-7-resumo-executivo.md,bloco-7-resumo-executivo.md,OUTROS/NEUTRO
BLOCO-8-RESUMO-EXECUTIVO.md,BLOCO-8-RESUMO-EXECUTIVO.md,.md,4692,4.58 KB,2025-12-27 19:41,2025-12-27 19:41,BLOCO-8-RESUMO-EXECUTIVO.md,bloco-8-resumo-executivo.md,bloco-8-resumo-executivo.md,OUTROS/NEUTRO
BLOCO-9-RESUMO-EXECUTIVO.md,BLOCO-9-RESUMO-EXECUTIVO.md,.md,5564,5.43 KB,2025-12-27 19:41,2025-12-27 19:41,BLOCO-9-RESUMO-EXECUTIVO.md,bloco-9-resumo-executivo.md,bloco-9-resumo-executivo.md,OUTROS/NEUTRO
DocumentoTamanhoContedoUso.csv,DocumentoTamanhoContedoUso.csv,.csv,492,0.48 KB,2025-12-28 10:59,2025-12-28 10:59,DocumentoTamanhoContedoUso.csv,documentotamanhocontedouso.csv,documentotamanhocontedouso.csv,OUTROS/NEUTRO
INDICE_CONSOLIDADO_Todos_Arquivos.md,INDICE_CONSOLIDADO_Todos_Arquivos.md,.md,10323,10.08 KB,2025-12-23 21:32,2025-12-28 11:04,INDICE_CONSOLIDADO_Todos_Arquivos.md,indice_consolidado_todos_arquivos.md,indice_consolidado_todos_arquivos.md,OUTROS/NEUTRO
MODULO-2-RESUMO-EXECUTIVO.md,MODULO-2-RESUMO-EXECUTIVO.md,.md,6843,6.68 KB,2025-12-27 19:39,2025-12-27 19:39,MODULO-2-RESUMO-EXECUTIVO.md,modulo-2-resumo-executivo.md,modulo-2-resumo-executivo.md,OUTROS/NEUTRO
MODULO-3-RESUMO-EXECUTIVO.md,MODULO-3-RESUMO-EXECUTIVO.md,.md,6583,6.43 KB,2025-12-27 19:39,2025-12-27 19:39,MODULO-3-RESUMO-EXECUTIVO.md,modulo-3-resumo-executivo.md,modulo-3-resumo-executivo.md,OUTROS/NEUTRO
MODULO-4-RESUMO-EXECUTIVO.md,MODULO-4-RESUMO-EXECUTIVO.md,.md,5137,5.02 KB,2025-12-27 19:40,2025-12-27 19:40,MODULO-4-RESUMO-EXECUTIVO.md,modulo-4-resumo-executivo.md,modulo-4-resumo-executivo.md,OUTROS/NEUTRO
MODULO-5-RESUMO-EXECUTIVO.md,MODULO-5-RESUMO-EXECUTIVO.md,.md,6711,6.55 KB,2025-12-27 19:40,2025-12-27 19:40,MODULO-5-RESUMO-EXECUTIVO.md,modulo-5-resumo-executivo.md,modulo-5-resumo-executivo.md,OUTROS/NEUTRO
QUICK-REFERENCE-GUIDE.md,QUICK-REFERENCE-GUIDE.md,.md,8076,7.89 KB,2025-12-27 19:43,2025-12-27 19:43,QUICK-REFERENCE-GUIDE.md,quick-reference-guide.md,quick-reference-guide.md,OUTROS/NEUTRO
QUICK-START-IMPRIMIVEL.md,QUICK-START-IMPRIMIVEL.md,.md,6994,6.83 KB,2025-12-27 19:43,2025-12-27 19:43,QUICK-START-IMPRIMIVEL.md,quick-start-imprimivel.md,quick-start-imprimivel.md,OUTROS/NEUTRO
RELATORIO-COMPLETO-PORTUGUES.md,RELATORIO-COMPLETO-PORTUGUES.md,.md,48741,47.6 KB,2025-12-27 19:43,2025-12-27 19:43,RELATORIO-COMPLETO-PORTUGUES.md,relatorio-completo-portugues.md,relatorio-completo-portugues.md,OUTROS/NEUTRO
RELATORIO_CONSOLIDACAO_2025-12-28_11-36-17.txt,RELATORIO_CONSOLIDACAO_2025-12-28_11-36-17.txt,.txt,6135,5.99 KB,2025-12-28 11:36,2025-12-28 11:36,RELATORIO_CONSOLIDACAO_2025-12-28_11-36-17.txt,relatorio_consolidacao_2025-12-28_11-36-17.txt,relatorio_consolidacao_2025-12-28_11-36-17.txt,OUTROS/NEUTRO
SISTEMA-COMPLETO-80-FUNCIONALIDADES.md,SISTEMA-COMPLETO-80-FUNCIONALIDADES.md,.md,26276,25.66 KB,2025-12-27 23:12,2025-12-27 23:12,SISTEMA-COMPLETO-80-FUNCIONALIDADES.md,sistema-completo-80-funcionalidades.md,sistema-completo-80-funcionalidades.md,OUTROS/NEUTRO
SISTEMA-FINAL-INTEGRADO-COMPLETO.md,SISTEMA-FINAL-INTEGRADO-COMPLETO.md,.md,19371,18.92 KB,2025-12-27 19:42,2025-12-27 19:42,SISTEMA-FINAL-INTEGRADO-COMPLETO.md,sistema-final-integrado-completo.md,sistema-final-integrado-completo.md,OUTROS/NEUTRO
exemplos_praticos_implementacao.md,exemplos_praticos_implementacao.md,.md,16033,15.66 KB,2025-12-22 11:34,2025-12-22 11:34,exemplos_praticos_implementacao.md,exemplos_praticos_implementacao.md,exemplos_praticos_implementacao.md,OUTROS/NEUTRO
protocolo-10-1-crisis-prevention.md,protocolo-10-1-crisis-prevention.md,.md,3011,2.94 KB,2025-12-27 19:41,2025-12-27 19:41,protocolo-10-1-crisis-prevention.md,protocolo-10-1-crisis-prevention.md,protocolo-10-1-crisis-prevention.md,OUTROS/NEUTRO
protocolo-10-2-crisis-response.md,protocolo-10-2-crisis-response.md,.md,3438,3.36 KB,2025-12-27 19:42,2025-12-27 19:42,protocolo-10-2-crisis-response.md,protocolo-10-2-crisis-response.md,protocolo-10-2-crisis-response.md,OUTROS/NEUTRO
protocolo-10-3-recovery.md,protocolo-10-3-recovery.md,.md,4108,4.01 KB,2025-12-27 19:42,2025-12-27 19:42,protocolo-10-3-recovery.md,protocolo-10-3-recovery.md,protocolo-10-3-recovery.md,OUTROS/NEUTRO
protocolo-11-1-niche-positioning.md,protocolo-11-1-niche-positioning.md,.md,3659,3.57 KB,2025-12-27 19:42,2025-12-27 19:42,protocolo-11-1-niche-positioning.md,protocolo-11-1-niche-positioning.md,protocolo-11-1-niche-positioning.md,OUTROS/NEUTRO
protocolo-11-3-niche-monetization.md,protocolo-11-3-niche-monetization.md,.md,3064,2.99 KB,2025-12-27 19:42,2025-12-27 19:42,protocolo-11-3-niche-monetization.md,protocolo-11-3-niche-monetization.md,protocolo-11-3-niche-monetization.md,OUTROS/NEUTRO
protocolo-12-1-paid-ads-strategy.md,protocolo-12-1-paid-ads-strategy.md,.md,2629,2.57 KB,2025-12-27 19:42,2025-12-27 19:42,protocolo-12-1-paid-ads-strategy.md,protocolo-12-1-paid-ads-strategy.md,protocolo-12-1-paid-ads-strategy.md,OUTROS/NEUTRO
protocolo-12-3-ads-optimization.md,protocolo-12-3-ads-optimization.md,.md,3134,3.06 KB,2025-12-27 19:42,2025-12-27 19:42,protocolo-12-3-ads-optimization.md,protocolo-12-3-ads-optimization.md,protocolo-12-3-ads-optimization.md,OUTROS/NEUTRO
protocolo-5-2-kpis-analytics.md,protocolo-5-2-kpis-analytics.md,.md,4119,4.02 KB,2025-12-27 19:40,2025-12-27 19:40,protocolo-5-2-kpis-analytics.md,protocolo-5-2-kpis-analytics.md,protocolo-5-2-kpis-analytics.md,OUTROS/NEUTRO
protocolo-5-3-escalacao-30-60-90 (1).md,protocolo-5-3-escalacao-30-60-90 (1).md,.md,4810,4.7 KB,2025-12-27 19:40,2025-12-27 19:40,protocolo-5-3-escalacao-30-60-90 (1).md,protocolo-5-3-escalacao-30-60-90 (1).md,protocolo-5-3-escalacao-30-60-90 (1).md,OUTROS/NEUTRO
protocolo-5-3-escalacao-30-60-90.md,protocolo-5-3-escalacao-30-60-90.md,.md,4810,4.7 KB,2025-12-27 19:40,2025-12-27 19:40,protocolo-5-3-escalacao-30-60-90.md,protocolo-5-3-escalacao-30-60-90.md,protocolo-5-3-escalacao-30-60-90.md,OUTROS/NEUTRO
protocolo-6-1-replies-strategy.md,protocolo-6-1-replies-strategy.md,.md,2520,2.46 KB,2025-12-27 19:40,2025-12-27 19:40,protocolo-6-1-replies-strategy.md,protocolo-6-1-replies-strategy.md,protocolo-6-1-replies-strategy.md,OUTROS/NEUTRO
protocolo-6-2-dm-strategy.md,protocolo-6-2-dm-strategy.md,.md,2036,1.99 KB,2025-12-27 19:41,2025-12-27 19:40,protocolo-6-2-dm-strategy.md,protocolo-6-2-dm-strategy.md,protocolo-6-2-dm-strategy.md,OUTROS/NEUTRO
protocolo-6-3-community-rituals.md,protocolo-6-3-community-rituals.md,.md,2668,2.61 KB,2025-12-27 19:41,2025-12-27 19:41,protocolo-6-3-community-rituals.md,protocolo-6-3-community-rituals.md,protocolo-6-3-community-rituals.md,OUTROS/NEUTRO
protocolo-7-1-produtos-proprios.md,protocolo-7-1-produtos-proprios.md,.md,2632,2.57 KB,2025-12-27 19:41,2025-12-27 19:41,protocolo-7-1-produtos-proprios.md,protocolo-7-1-produtos-proprios.md,protocolo-7-1-produtos-proprios.md,OUTROS/NEUTRO
protocolo-7-2-afiliados.md,protocolo-7-2-afiliados.md,.md,2489,2.43 KB,2025-12-27 19:41,2025-12-27 19:41,protocolo-7-2-afiliados.md,protocolo-7-2-afiliados.md,protocolo-7-2-afiliados.md,OUTROS/NEUTRO
protocolo-7-3-brand-deals.md,protocolo-7-3-brand-deals.md,.md,2913,2.84 KB,2025-12-27 19:41,2025-12-27 19:41,protocolo-7-3-brand-deals.md,protocolo-7-3-brand-deals.md,protocolo-7-3-brand-deals.md,OUTROS/NEUTRO
protocolo-alta-performance.md,protocolo-alta-performance.md,.md,34257,33.45 KB,2025-12-04 14:21,2025-12-28 11:30,protocolo-alta-performance.md,protocolo-alta-performance.md,protocolo-alta-performance.md,OUTROS/NEUTRO
resumo_executivo.md,resumo_executivo.md,.md,5072,4.95 KB,2025-12-22 11:34,2025-12-22 11:34,resumo_executivo.md,resumo_executivo.md,resumo_executivo.md,OUTROS/NEUTRO
📚 BASES DE CONSULTA.md,📚 BASES DE CONSULTA.md,.md,12057,11.77 KB,2025-12-14 20:47,2025-12-28 11:30,📚 BASES DE CONSULTA.md,📚 bases de consulta.md,📚 bases de consulta.md,OUTROS/NEUTRO
2_ARQUIVOS_SOLTOS\DOCXs\site_intimax_recriar (1).docx,site_intimax_recriar (1).docx,.docx,1979440,1.89 MB,2025-12-18 01:58,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\DOCXs\site_intimax_recriar (1).docx,2_arquivos_soltos\docxs\site_intimax_recriar (1).docx,site_intimax_recriar (1).docx,PORTAL/SITE
2_ARQUIVOS_SOLTOS\DOCXs\site_intimax_recriar.docx,site_intimax_recriar.docx,.docx,1979440,1.89 MB,2025-12-16 16:03,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\DOCXs\site_intimax_recriar.docx,2_arquivos_soltos\docxs\site_intimax_recriar.docx,site_intimax_recriar.docx,PORTAL/SITE
2_ARQUIVOS_SOLTOS\Markdowns\DIAGNOSTICO_REAL_PORTAL_RODOVANSKY.md,DIAGNOSTICO_REAL_PORTAL_RODOVANSKY.md,.md,6250,6.1 KB,2025-12-21 21:49,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\DIAGNOSTICO_REAL_PORTAL_RODOVANSKY.md,2_arquivos_soltos\markdowns\diagnostico_real_portal_rodovansky.md,diagnostico_real_portal_rodovansky.md,PORTAL/SITE
2_ARQUIVOS_SOLTOS\Markdowns\Intimax-Site-Conversao-SEO-Copy.md,Intimax-Site-Conversao-SEO-Copy.md,.md,22771,22.24 KB,2025-12-17 03:04,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\Intimax-Site-Conversao-SEO-Copy.md,2_arquivos_soltos\markdowns\intimax-site-conversao-seo-copy.md,intimax-site-conversao-seo-copy.md,PORTAL/SITE
2_ARQUIVOS_SOLTOS\Markdowns\RELATÓRIO COMPLETO - PORTAL DRA. KARINA (PARTE 1 DO CHAT).md,RELATÓRIO COMPLETO - PORTAL DRA. KARINA (PARTE 1 DO CHAT).md,.md,18625,18.19 KB,2025-12-21 21:12,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\RELATÓRIO COMPLETO - PORTAL DRA. KARINA (PARTE 1 DO CHAT).md,2_arquivos_soltos\markdowns\relatório completo - portal dra. karina (parte 1 do chat).md,relatório completo - portal dra. karina (parte 1 do chat).md,PORTAL/SITE
2_ARQUIVOS_SOLTOS\Markdowns\RESUMO EXECUTIVO - PORTAL DRA. KARINA RODOVANSKI.md,RESUMO EXECUTIVO - PORTAL DRA. KARINA RODOVANSKI.md,.md,10842,10.59 KB,2025-12-21 21:15,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\RESUMO EXECUTIVO - PORTAL DRA. KARINA RODOVANSKI.md,2_arquivos_soltos\markdowns\resumo executivo - portal dra. karina rodovanski.md,resumo executivo - portal dra. karina rodovanski.md,PORTAL/SITE
2_ARQUIVOS_SOLTOS\Markdowns\manifesto-intimax-sculpt-oficial.md,manifesto-intimax-sculpt-oficial.md,.md,38044,37.15 KB,2025-12-10 16:26,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\manifesto-intimax-sculpt-oficial.md,2_arquivos_soltos\markdowns\manifesto-intimax-sculpt-oficial.md,manifesto-intimax-sculpt-oficial.md,PORTAL/SITE
2_ARQUIVOS_SOLTOS\Markdowns\melhores paginas no instagram de auto estima femin.md,melhores paginas no instagram de auto estima femin.md,.md,4536,4.43 KB,2025-11-19 04:12,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\melhores paginas no instagram de auto estima femin.md,2_arquivos_soltos\markdowns\melhores paginas no instagram de auto estima femin.md,melhores paginas no instagram de auto estima femin.md,PORTAL/SITE
2_ARQUIVOS_SOLTOS\Markdowns\portal-karina-guide.md,portal-karina-guide.md,.md,71130,69.46 KB,2025-12-06 16:45,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\portal-karina-guide.md,2_arquivos_soltos\markdowns\portal-karina-guide.md,portal-karina-guide.md,PORTAL/SITE
2_ARQUIVOS_SOLTOS\Markdowns\portal-rodovansky-completo (1).md,portal-rodovansky-completo (1).md,.md,59361,57.97 KB,2025-12-06 18:07,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\portal-rodovansky-completo (1).md,2_arquivos_soltos\markdowns\portal-rodovansky-completo (1).md,portal-rodovansky-completo (1).md,PORTAL/SITE
2_ARQUIVOS_SOLTOS\Markdowns\portal-rodovansky-completo.md,portal-rodovansky-completo.md,.md,59361,57.97 KB,2025-12-06 17:43,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\portal-rodovansky-completo.md,2_arquivos_soltos\markdowns\portal-rodovansky-completo.md,portal-rodovansky-completo.md,PORTAL/SITE
2_ARQUIVOS_SOLTOS\Markdowns\portal-rodovansky-otimizado.md,portal-rodovansky-otimizado.md,.md,25795,25.19 KB,2025-12-06 18:07,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\portal-rodovansky-otimizado.md,2_arquivos_soltos\markdowns\portal-rodovansky-otimizado.md,portal-rodovansky-otimizado.md,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\DRA_KARINA_2_PAGINAS_CORRIGIDO.pdf,DRA_KARINA_2_PAGINAS_CORRIGIDO.pdf,.pdf,1086384,1.04 MB,2025-12-20 15:10,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\DRA_KARINA_2_PAGINAS_CORRIGIDO.pdf,2_arquivos_soltos\pdfs\dra_karina_2_paginas_corrigido.pdf,dra_karina_2_paginas_corrigido.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\DRA_KARINA_3_PAGINAS.pdf,DRA_KARINA_3_PAGINAS.pdf,.pdf,41081,40.12 KB,2025-12-20 14:18,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\DRA_KARINA_3_PAGINAS.pdf,2_arquivos_soltos\pdfs\dra_karina_3_paginas.pdf,dra_karina_3_paginas.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX SCULPT - Método Completo (1).pdf,INTIMAX SCULPT - Método Completo (1).pdf,.pdf,3960058,3.78 MB,2025-12-20 15:57,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX SCULPT - Método Completo (1).pdf,2_arquivos_soltos\pdfs\intimax sculpt - método completo (1).pdf,intimax sculpt - método completo (1).pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX SCULPT - Método Completo.pdf,INTIMAX SCULPT - Método Completo.pdf,.pdf,3967564,3.78 MB,2025-12-20 15:49,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX SCULPT - Método Completo.pdf,2_arquivos_soltos\pdfs\intimax sculpt - método completo.pdf,intimax sculpt - método completo.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_PAGINAS_4_5_6_7.pdf,INTIMAX_PAGINAS_4_5_6_7.pdf,.pdf,167504,163.58 KB,2025-12-20 10:29,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_PAGINAS_4_5_6_7.pdf,2_arquivos_soltos\pdfs\intimax_paginas_4_5_6_7.pdf,intimax_paginas_4_5_6_7.pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_PAGINAS_5_A_10 (1).pdf,INTIMAX_PAGINAS_5_A_10 (1).pdf,.pdf,5172607,4.93 MB,2025-12-20 14:19,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_PAGINAS_5_A_10 (1).pdf,2_arquivos_soltos\pdfs\intimax_paginas_5_a_10 (1).pdf,intimax_paginas_5_a_10 (1).pdf,PORTAL/SITE
2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_PAGINAS_5_A_10 (2).pdf,INTIMAX_PAGINAS_5_A_10 (2).pdf,.pdf,5172607,4.93 MB,2025-12-20 14:19,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\INTIMAX_PAGINAS_5_A_10 (2).pdf,2_arquivos_soltos\pdfs\intimax_paginas_5_a_10 (2).pdf,intimax_paginas_5_a_10 (2).pdf,PORTAL/SITE
